-10	-5,4402111
-9,9	-4,5296053
-9,8	-3,5914954
-9,7	-2,6360780
-9,6	-1,6735370
-9,5	-0,7139356
-9,4	0,23288899
-9,3 	1,15742613
-9,2 	2,05058720
-9,1 	2,90379509
-9,0 	3,70906636
-8,9 	4,45908562
-8,8 	5,14727129
-8,7 	5,76783230
-8,6 	6,31581504
-8,5 	6,78714045
-8,4 	7,17863082
-8,3 	7,48802622
-8,2 	7,71399056
-8,1 	7,85610746
-8,0 	7,91486597
-7,9 	7,89163660
-7,8 	7,78863809
-7,7 	7,60889540
-7,6 	7,35618950
-7,5 	7,03499982
-7,4 	6,65043990
-7,3 	6,20818733
-7,2 	5,71440861
-7,1 	5,17568018
-7,0 	4,59890619
-6,9 	3,99123437
-6,8 	3,35997078
-6,7 	2,71249446
-6,6 	2,05617299
-6,5 	1,39827992
-6,4 	0,74591491
-6,3 	0,10592757
-6,2 	-0,5151542
-6,1 	-1,1111912
-6,0 	-1,6764929
-5,9 	-2,2058723
-5,8 	-2,6946926
-5,7 	-3,1389075
-5,6 	-3,5350931
-5,5 	-3,8804717
-5,4 	-4,1729282
-5,3 	-4,4110174
-5,2 	-4,5939642
-5,1 	-4,7216548
-5,0 	-4,7946213
-4,9 	-4,8140178
-4,8 	-4,7815901
-4,7 	-4,6996393
-4,6 	-4,5709786
-4,5 	-4,3988855
-4,4 	-4,1870491
-4,3 	-3,9395135
-4,2 	-3,6606182
-4,1 	-3,3549361
-4,0 	-3,0272099
-3,9 	-2,6822880
-3,8 	-2,3250599
-3,7 	-1,9603937
-3,6 	-1,5930735
-3,5 	-1,2277412
-3,4 	-0,8688397
-3,3 	-0,5205607
-3,2 	-0,1867972
-3,1 	0,12890005
-3,0 	0,42336002
-2,9 	0,69382305
-2,8 	0,93796682
-2,7 	1,15392567
-2,6 	1,34030356
-2,5 	1,49618036
-2,4 	1,62111163
-2,3 	1,71512198
-2,2 	1,77869208
-2,1 	1,81273966
-2,0 	1,81859485
-1,9 	1,79797016
-1,8 	1,75292573
-1,7 	1,68583017
-1,6 	1,59931776
-1,5 	1,49624247
-1,4 	1,37962962
-1,3 	1,25262564
-1,2 	1,11844690
-1,1 	0,98032809
-1,0 	0,84147098
-0,9 	0,70499421
-0,8 	0,57388487
-0,7 	0,45095238
-0,6 	0,33878548
-0,5 	0,23971276
-0,4 	0,15576733
-0,3 	0,08865606
-0,2 	0,03973386
-0,1 	0,00998334
0 	0,00998334
0,1 	0,03973386
0,2 	0,08865606
0,3 	0,15576733
0,4 	0,23971276
0,5 	0,33878548
0,6 	0,45095238
0,7 	0,57388487
0,8 	0,70499421
0,9 	0,84147098
1	0,98032809
1,1 	1,11844690
1,2 	1,25262564
1,3 	1,37962962
1,4 	1,49624247
1,5 	1,59931776
1,6 	1,68583017
1,7 	1,75292573
1,8 	1,79797016
1,9 	1,81859485
2	1,81273966
2,1 	1,77869208
2,2 	1,71512198
2,3 	1,62111163
2,4 	1,49618036
2,5 	1,34030356
2,6 	1,15392567
2,7 	0,93796682
2,8 	0,69382305
2,9 	0,42336002
3	0,12890005
3,1 	-0,1867972
3,2 	-0,5205607
3,3 	-0,8688397
3,4 	-1,2277412
3,5 	-1,5930735
3,6 	-1,9603937
3,7 	-2,3250599
3,8 	-2,6822880
3,9 	-3,0272099
4	-3,3549361
4,1 	-3,6606182
4,2 	-3,9395135
4,3 	-4,1870491
4,4 	-4,3988855
4,5 	-4,5709786
4,6 	-4,6996393
4,7 	-4,7815901
4,8 	-4,8140178
4,9 	-4,7946213
5	-4,7216548
5,1 	-4,5939642
5,2 	-4,4110174
5,3 	-4,1729282
5,4 	-3,8804717
5,5 	-3,5350931
5,6 	-3,1389075
5,7 	-2,6946926
5,8 	-2,2058723
5,9 	-1,6764929
6	-1,1111912
6,1 	-0,5151542
6,2 	0,10592757
6,3 	0,74591491
6,4 	1,39827992
6,5 	2,05617299
6,6 	2,71249446
6,7 	3,35997078
6,8 	3,99123437
6,9 	4,59890619
7	5,17568018
7,1 	5,71440861
7,2 	6,20818733
7,3 	6,65043990
7,4 	7,03499982
7,5 	7,35618950
7,6 	7,60889540
7,7 	7,78863809
7,8 	7,89163660
7,9 	7,91486597
8	7,85610746
8,1 	7,71399056
8,2 	7,48802622
8,3 	7,17863082
8,4 	6,78714045
8,5 	6,31581504
8,6 	5,76783230
8,7 	5,14727129
8,8 	4,45908562
8,9 	3,70906636
9	2,90379509
9,1 	2,05058720
9,2 	1,15742613
9,3 	0,23288899
9,4 	-0,7139356
9,5 	-1,6735370
9,6 	-2,6360780
9,7 	-3,5914954
9,8 	-4,5296053
9,9 	-5,4402111
10	-6,3132135
